value,tag,default
PLATFORM::Platform XFN::BizDev,about_platform_platform_xfn_bizdev,false
PLATFORM::Platform XFN::Developer Relations,about_platform_platform_xfn_developer_relations,false
PLATFORM::Platform XFN::Marketing,about_platform_platform_xfn_marketing,false
PLATFORM::Platform XFN::Platform XFN - Other,about_platform_platform_xfn_other,false
PLATFORM::Platform XFN::Sales Engineering,about_platform_platform_xfn_sales_engineering,false
PLATFORM::Platform XFN::Slack Fund,about_slack_fund,false
PLATFORM::Slack-owned apps::Asana (Legacy),about_platform_slack_owned_apps_asana,false
PLATFORM::Slack-owned apps::BitBucket,about_platform_slack_owned_apps_bitbucket,false
PLATFORM::Slack-owned apps::Box,about_platform_slack_owned_apps_box,false
PLATFORM::Slack-owned apps::Dropbox,about_platform_slack_owned_apps_dropbox,false
PLATFORM::Slack-owned apps::Giphy,about_platform_slack-owned_apps_giphy,false
PLATFORM::Slack-owned apps::Github Enterprise Server (Legacy),about_platform_slack_owned_apps_github,false
PLATFORM::Slack-owned apps::Gmail Email Add-on,about_platform_slack-owned_apps_gmail_email_add-on,false
PLATFORM::Slack-owned apps::Google Calendar,about_platform_slack_owned_apps_google_calendar,false
PLATFORM::Slack-owned apps::Google Drive,about_platform_slack_owned_apps_google_drive,false
PLATFORM::Slack-owned apps::Jenkins,about_platform_slack_owned_apps_jenkins,false
PLATFORM::Slack-owned apps::Jira Server Alerts (Legacy),about_platform_slack_owned_apps_jira_server_alerts,false
PLATFORM::Slack-owned apps::OneDrive,about_onedrive,false
PLATFORM::Slack-owned apps::Outlook Calendar,about_platform_slack-owned_apps_outlook_calendar,false
PLATFORM::Slack-owned apps::Outlook Email Add-on,about_platform_slack-owned_apps_outlook_email_add-on,false
PLATFORM::Slack-owned apps::RSS,about_platform_slack_owned_apps_rss,false
PLATFORM::Slack-owned apps::Salesforce,about_platform_slack_owned_apps_salesforce,false
PLATFORM::Slack-owned apps::Slack Developer Toolkit,about_platform_slack-owned_apps_slack_developer_toolkit,false
PLATFORM::Slack-owned apps::Slack-owned apps - Other,about_platform_slack_owned_apps_other,false
PLATFORM::Slack-owned apps::Trello Alerts (Legacy),about_platform_slack_owned_apps_trello_alerts,false
PLATFORM::Slack-owned apps::Twitter,about_platform_slack_owned_apps_twitter,false
PLATFORM::Slack-owned apps::Zendesk (Legacy),about_platform_slack_owned_apps_zendesk,false
PLATFORM::Tables,about_platform_tables,false
PLATFORM::Third-party app::Asana workspace app,about_platform_third-party_app_asana_workspace_app,false
PLATFORM::Third-party app::Delist,about_platform_third_party_app_delist,false
PLATFORM::Third-party app::GitHub workspace app,about_platform_third-party_app_github_workspace_app,false
PLATFORM::Third-party app::Installation,about_platform_third_party_app_installation,false
PLATFORM::Third-party app::Jira apps,about_jira_apps,false
PLATFORM::Third-party app::Published,about_platform_third_party_app_published,false
PLATFORM::Third-party app::Third-party app - Other,integrations_third_party_app,false
PLATFORM::Third-party app::Unapproved,about_platform_third_party_app_unapproved,false
PLATFORM::Third-party app::Zendesk workspace app,about_workspace_zendesk,false
PLATFORM::Triggers,about_platform_triggers,false
PLATFORM::Workflow Builder,about_platform_workflow_builder,false
POLICY:: Terms of Service,about_tos,false
POLICY::Data Protection (GDPR),about_policy_data_protection,false
POLICY::Export Request,about_policy_export_request,false
POLICY::Ownership Transfer,about_ownership_transfer,false
POLICY::Policy Other,about_policy_other,false
POLICY::Privacy,about_policy_privacy,false
POLICY::Profile Deletion,about_policy_profile_deletion,false
POLICY::Unwanted invite,about_unwanted_invite,false
PRODUCT FEATURES::Accessibility,about_accessibility,false
PRODUCT FEATURES::Canvas,about_canvas,false
PRODUCT FEATURES::Channels/DMs,about_channels_dms,false
PRODUCT FEATURES::Email Bridge,about_email_bridge,false
PRODUCT FEATURES::Email Ingestion,about_email_integration,false
PRODUCT FEATURES::Emoji/Reactions,about_emoji_reactions,false
PRODUCT FEATURES::Internationalization,about_internationalization,false
PRODUCT FEATURES::Later,about_later,false
PRODUCT FEATURES::Message formatting/posting,about_messages_formatting_posting,false
PRODUCT FEATURES::Message/File Threading,about_messages_threading,false
PRODUCT FEATURES::Notifications,about_notifications,false
PRODUCT FEATURES::Notifications - DND,about_dnd,false
